"0.81 (0.59 to  1.11)","0.78 (0.56 to  1.07)","0.83 (0.63 to  1.09)","1.26 (0.79 to  2.01)","1.55 (0.55 to  4.32)","1.21 (0.69 to  2.15)","0.56 (0.23 to  1.35)","0.74 (0.52 to  1.05)","0.73 (0.50 to  1.06)","0.96 (0.52 to  1.75)","placebo","2.33 (0.17 to 32.58)","0.79 (0.65 to  0.96)","2.60 (0.84 to  7.99)","1.18 (0.75 to  1.86)","0.65 (0.24 to  1.78)","1.07 (0.28 to  4.04)","0.95 (0.65 to  1.39)","1.14 (0.94 to  1.39)","1.03 (0.69 to  1.52)"
"1.89 (0.13 to 26.86)","1.81 (0.13 to 25.82)","1.93 (0.14 to 27.28)","2.95 (0.20 to 42.86)","3.61 (0.21 to 61.17)","2.83 (0.19 to 42.07)","1.31 (0.08 to 21.09)","1.72 (0.12 to 24.54)","1.70 (0.12 to 24.41)","2.23 (0.15 to 33.35)","2.33 (0.17 to 32.58)","quetiapine",".",".",".",".",".",".",".","."
"0.64 (0.44 to  0.93)","0.62 (0.42 to  0.90)","0.66 (0.47 to  0.92)","1.00 (0.61 to  1.66)","1.23 (0.43 to  3.50)","0.97 (0.54 to  1.73)","0.45 (0.18 to  1.10)","0.58 (0.39 to  0.88)","0.58 (0.38 to  0.89)","0.76 (0.40 to  1.43)","0.79 (0.65 to  0.97)","0.34 (0.02 to  4.79)","ramelteon",".",".",".",".",".",".","."
"1.87 (0.66 to  5.29)","1.80 (0.63 to  5.10)","1.91 (0.68 to  5.34)","2.92 (0.98 to  8.74)","3.58 (0.86 to 14.95)","2.81 (0.89 to  8.84)","1.30 (0.35 to  4.88)","1.70 (0.59 to  4.88)","1.69 (0.59 to  4.87)","2.21 (0.69 to  7.07)","2.32 (0.86 to  6.25)","0.99 (0.06 to 16.60)","2.91 (1.06 to  8.01)","seltorexant",".",".",".",".","0.58 (0.16 to  2.03)","."
"0.95 (0.55 to  1.65)","0.92 (0.52 to  1.60)","0.97 (0.57 to  1.65)","1.49 (0.78 to  2.85)","1.82 (0.59 to  5.61)","1.43 (0.69 to  2.97)","0.66 (0.24 to  1.78)","0.87 (0.49 to  1.54)","0.86 (0.48 to  1.55)","1.13 (0.53 to  2.40)","1.18 (0.75 to  1.86)","0.50 (0.03 to  7.33)","1.48 (0.90 to  2.43)","0.51 (0.17 to  1.52)","suvorexant",".",".",".",".","."
"0.87 (0.40 to  1.89)","0.84 (0.38 to  1.86)","0.89 (0.41 to  1.94)","1.36 (0.57 to  3.25)","1.66 (0.47 to  5.91)","1.31 (0.51 to  3.33)","0.60 (0.19 to  1.89)","0.79 (0.35 to  1.79)","0.78 (0.34 to  1.79)","1.03 (0.40 to  2.67)","1.08 (0.51 to  2.26)","0.46 (0.03 to  7.13)","1.35 (0.63 to  2.91)","0.46 (0.14 to  1.59)","0.91 (0.38 to  2.18)","trazodone",".",".","0.92 (0.37 to  2.27)","."
"1.05 (0.33 to  3.31)","1.01 (0.31 to  3.30)","1.07 (0.33 to  3.46)","1.63 (0.47 to  5.67)","2.00 (0.43 to  9.39)","1.57 (0.43 to  5.69)","0.72 (0.17 to  3.09)","0.95 (0.29 to  3.17)","0.94 (0.28 to  3.17)","1.24 (0.34 to  4.55)","1.29 (0.41 to  4.10)","0.55 (0.03 to  9.86)","1.63 (0.50 to  5.25)","0.56 (0.12 to  2.56)","1.10 (0.32 to  3.80)","1.20 (0.31 to  4.70)","trimipramine",".",".","."
"0.83 (0.54 to  1.29)","0.80 (0.51 to  1.25)","0.85 (0.56 to  1.28)","1.30 (0.74 to  2.27)","1.59 (0.54 to  4.66)","1.25 (0.65 to  2.40)","0.58 (0.23 to  1.46)","0.76 (0.47 to  1.21)","0.75 (0.46 to  1.22)","0.98 (0.50 to  1.94)","1.03 (0.75 to  1.41)","0.44 (0.03 to  6.27)","1.29 (0.89 to  1.88)","0.44 (0.16 to  1.25)","0.87 (0.50 to  1.52)","0.96 (0.43 to  2.12)","0.79 (0.24 to  2.62)","zaleplon","1.03 (0.67 to  1.59)","."
"0.92 (0.65 to  1.28)","0.88 (0.62 to  1.25)","0.93 (0.69 to  1.27)","1.43 (0.87 to  2.34)","1.75 (0.62 to  4.97)","1.37 (0.76 to  2.50)","0.63 (0.26 to  1.53)","0.83 (0.57 to  1.22)","0.83 (0.55 to  1.23)","1.08 (0.58 to  2.03)","1.13 (0.95 to  1.35)","0.48 (0.03 to  6.81)","1.42 (1.09 to  1.85)","0.49 (0.18 to  1.32)","0.96 (0.59 to  1.56)","1.05 (0.50 to  2.20)","0.87 (0.27 to  2.80)","1.10 (0.80 to  1.52)","zolpidem","0.73 (0.44 to  1.19)"
"0.83 (0.57 to  1.20)","0.80 (0.58 to  1.10)","0.85 (0.63 to  1.14)","1.29 (0.76 to  2.20)","1.59 (0.55 to  4.57)","1.24 (0.66 to  2.33)","0.57 (0.23 to  1.43)","0.75 (0.53 to  1.08)","0.75 (0.47 to  1.18)","0.98 (0.51 to  1.89)","1.02 (0.79 to  1.33)","0.44 (0.03 to  6.21)","1.29 (0.93 to  1.78)","0.44 (0.16 to  1.23)","0.87 (0.52 to  1.47)","0.95 (0.44 to  2.07)","0.79 (0.24 to  2.57)","1.00 (0.67 to  1.49)","0.91 (0.68 to  1.20)","zopiclone"
