Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                    comparison k  nma direct indir.  RoR     z p-value
       eszopiclone:lemborexant 0 0.95      .   0.95    .     .       .
         eszopiclone:melatonin 0 1.43      .   1.43    .     .       .
           eszopiclone:placebo 1 1.54   1.75   0.60 2.94  1.98  0.0481
         eszopiclone:ramelteon 0 1.45      .   1.45    .     .       .
       eszopiclone:seltorexant 0 2.28      .   2.28    .     .       .
         eszopiclone:trazodone 0 0.90      .   0.90    .     .       .
      eszopiclone:trimipramine 0 0.50      .   0.50    .     .       .
          eszopiclone:zaleplon 0 1.55      .   1.55    .     .       .
          eszopiclone:zolpidem 0 0.96      .   0.96    .     .       .
         eszopiclone:zopiclone 2 0.85   0.87   0.69 1.26  0.34  0.7327
         lemborexant:melatonin 0 1.51      .   1.51    .     .       .
           lemborexant:placebo 2 1.63   1.81      .    .     .       .
         lemborexant:ramelteon 0 1.53      .   1.53    .     .       .
       lemborexant:seltorexant 0 2.41      .   2.41    .     .       .
         lemborexant:trazodone 0 0.95      .   0.95    .     .       .
      lemborexant:trimipramine 0 0.53      .   0.53    .     .       .
          lemborexant:zaleplon 0 1.64      .   1.64    .     .       .
          lemborexant:zolpidem 1 1.02   0.75   1.60 0.47 -3.15  0.0016
         lemborexant:zopiclone 0 0.90      .   0.90    .     .       .
             melatonin:placebo 1 1.08   1.08      .    .     .       .
           melatonin:ramelteon 0 1.02      .   1.02    .     .       .
         melatonin:seltorexant 0 1.60      .   1.60    .     .       .
           melatonin:trazodone 0 0.63      .   0.63    .     .       .
        melatonin:trimipramine 0 0.35      .   0.35    .     .       .
            melatonin:zaleplon 0 1.08      .   1.08    .     .       .
            melatonin:zolpidem 0 0.68      .   0.68    .     .       .
           melatonin:zopiclone 0 0.59      .   0.59    .     .       .
             ramelteon:placebo 1 1.06   1.06      .    .     .       .
           seltorexant:placebo 1 0.68   0.53      .    .     .       .
             trazodone:placebo 1 1.71   1.59   2.96 0.54 -0.89  0.3728
          trimipramine:placebo 1 3.11   1.07      .    .     .       .
              zaleplon:placebo 2 1.00   0.85      .    .     .       .
              zolpidem:placebo 9 1.60   1.54      .    .     .       .
             zopiclone:placebo 0 1.82      .   1.82    .     .       .
         ramelteon:seltorexant 0 1.57      .   1.57    .     .       .
           ramelteon:trazodone 0 0.62      .   0.62    .     .       .
        ramelteon:trimipramine 0 0.34      .   0.34    .     .       .
            ramelteon:zaleplon 0 1.07      .   1.07    .     .       .
            ramelteon:zolpidem 0 0.66      .   0.66    .     .       .
           ramelteon:zopiclone 0 0.58      .   0.58    .     .       .
         seltorexant:trazodone 0 0.40      .   0.40    .     .       .
      seltorexant:trimipramine 0 0.22      .   0.22    .     .       .
          seltorexant:zaleplon 0 0.68      .   0.68    .     .       .
          seltorexant:zolpidem 1 0.42   0.55      .    .     .       .
         seltorexant:zopiclone 0 0.37      .   0.37    .     .       .
        trazodone:trimipramine 0 0.55      .   0.55    .     .       .
            trazodone:zaleplon 0 1.72      .   1.72    .     .       .
            trazodone:zolpidem 1 1.07   0.92   1.87 0.49 -0.99  0.3238
           trazodone:zopiclone 0 0.94      .   0.94    .     .       .
         trimipramine:zaleplon 0 3.11      .   3.11    .     .       .
         trimipramine:zolpidem 0 1.94      .   1.94    .     .       .
        trimipramine:zopiclone 0 1.71      .   1.71    .     .       .
             zaleplon:zolpidem 1 0.62   1.05   0.41 2.58  2.94  0.0033
            zaleplon:zopiclone 0 0.55      .   0.55    .     .       .
            zolpidem:zopiclone 0 0.88      .   0.88    .     .       .

Legend:
 comparison - Treatment comparison
 k          - Number of studies providing direct evidence
 nma        - Estimated treatment effect (OR) in network meta-analysis
 direct     - Estimated treatment effect (OR) derived from direct evidence
 indir.     - Estimated treatment effect (OR) derived from indirect evidence
 RoR        - Ratio of Ratios (direct versus indirect)
 z          - z-value of test for disagreement (direct versus indirect)
 p-value    - p-value of test for disagreement (direct versus indirect)
[1] "Percent of comparisons where there is some evidence (p-value<0.05) of disagreement between direct and indirect sources: NaN. (0 out of 0 comparisons)."
[1] "File created on 2022-01-30"
