Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                      comparison  k  nma direct indir.  RoR     z p-value
            eszopiclone:zolpidem  0 0.66      .   0.66    .     .       .
           eszopiclone:zopiclone  1 0.57   0.57      .    .     .       .
           lemborexant:melatonin  0 0.63      .   0.63    .     .       .
             lemborexant:placebo  1 0.95   0.97      .    .     .       .
           lemborexant:ramelteon  0 0.76      .   0.76    .     .       .
         lemborexant:seltorexant  0 0.92      .   0.92    .     .       .
           lemborexant:trazodone  0 0.39      .   0.39    .     .       .
            lemborexant:zaleplon  0 0.59      .   0.59    .     .       .
            lemborexant:zolpidem  1 0.41   0.40      .    .     .       .
           lemborexant:zopiclone  0 0.35      .   0.35    .     .       .
               melatonin:placebo  1 1.51   1.51      .    .     .       .
             melatonin:ramelteon  0 1.20      .   1.20    .     .       .
           melatonin:seltorexant  0 1.45      .   1.45    .     .       .
             melatonin:trazodone  0 0.61      .   0.61    .     .       .
              melatonin:zaleplon  0 0.94      .   0.94    .     .       .
              melatonin:zolpidem  0 0.65      .   0.65    .     .       .
             melatonin:zopiclone  0 0.55      .   0.55    .     .       .
               ramelteon:placebo  6 1.26   1.23   1.32 0.93 -0.07  0.9445
             seltorexant:placebo  1 1.04   0.69      .    .     .       .
               trazodone:placebo  1 2.47   2.68      .    .     .       .
                zaleplon:placebo  4 1.60   1.63   4.79 0.34 -0.80  0.4217
                zolpidem:placebo 13 2.33   2.66   1.43 1.86  1.29  0.1975
               zopiclone:placebo  3 2.72   2.57   2.84 0.90 -0.16  0.8762
           ramelteon:seltorexant  0 1.21      .   1.21    .     .       .
             ramelteon:trazodone  0 0.51      .   0.51    .     .       .
              ramelteon:zaleplon  0 0.78      .   0.78    .     .       .
              ramelteon:zolpidem  0 0.54      .   0.54    .     .       .
 [ reached getOption("max.print") -- omitted 11 rows ]

Legend:
 comparison - Treatment comparison
 k          - Number of studies providing direct evidence
 nma        - Estimated treatment effect (OR) in network meta-analysis
 direct     - Estimated treatment effect (OR) derived from direct evidence
 indir.     - Estimated treatment effect (OR) derived from indirect evidence
 RoR        - Ratio of Ratios (direct versus indirect)
 z          - z-value of test for disagreement (direct versus indirect)
 p-value    - p-value of test for disagreement (direct versus indirect)
[1] "Percent of comparisons where there is some evidence (p-value<0.05) of disagreement between direct and indirect sources: 0.06. (1 out of 18 comparisons)."
[1] "File created on 2022-02-02"
