Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                    comparison  k  nma direct indir.  RoR     z p-value
        lemborexant:suvorexant  0 1.05      .   1.05    .     .       .
         lemborexant:trazodone  0 0.33      .   0.33    .     .       .
          lemborexant:zaleplon  0 0.57      .   0.57    .     .       .
          lemborexant:zolpidem  1 0.38   0.35      .    .     .       .
         lemborexant:zopiclone  0 0.39      .   0.39    .     .       .
             melatonin:placebo  3 0.72   0.72      .    .     .       .
           melatonin:ramelteon  0 0.61      .   0.61    .     .       .
         melatonin:seltorexant  0 0.63      .   0.63    .     .       .
          melatonin:suvorexant  0 1.11      .   1.11    .     .       .
           melatonin:trazodone  0 0.35      .   0.35    .     .       .
            melatonin:zaleplon  0 0.60      .   0.60    .     .       .
            melatonin:zolpidem  0 0.40      .   0.40    .     .       .
           melatonin:zopiclone  0 0.41      .   0.41    .     .       .
             ramelteon:placebo  8 1.18   1.20   0.88 1.37  0.33  0.7438
           seltorexant:placebo  1 1.13   0.86      .    .     .       .
            suvorexant:placebo  2 0.65   0.65      .    .     .       .
             trazodone:placebo  1 2.04   2.68      .    .     .       .
              zaleplon:placebo  7 1.20   1.07   4.36 0.25 -1.07  0.2842
              zolpidem:placebo 16 1.79   1.93   0.67 2.85  1.45  0.1459
             zopiclone:placebo  1 1.75   2.47   1.49 1.65  0.67  0.5030
         ramelteon:seltorexant  0 1.04      .   1.04    .     .       .
          ramelteon:suvorexant  0 1.82      .   1.82    .     .       .
           ramelteon:trazodone  0 0.58      .   0.58    .     .       .
            ramelteon:zaleplon  0 0.98      .   0.98    .     .       .
            ramelteon:zolpidem  0 0.66      .   0.66    .     .       .
           ramelteon:zopiclone  1 0.67   0.52   0.71 0.73 -0.33  0.7436
        seltorexant:suvorexant  0 1.75      .   1.75    .     .       .
         seltorexant:trazodone  0 0.56      .   0.56    .     .       .
          seltorexant:zaleplon  0 0.94      .   0.94    .     .       .
          seltorexant:zolpidem  1 0.64   0.84      .    .     .       .
         seltorexant:zopiclone  0 0.65      .   0.65    .     .       .
          suvorexant:trazodone  0 0.32      .   0.32    .     .       .
           suvorexant:zaleplon  0 0.54      .   0.54    .     .       .
           suvorexant:zolpidem  0 0.36      .   0.36    .     .       .
          suvorexant:zopiclone  0 0.37      .   0.37    .     .       .
            trazodone:zaleplon  0 1.70      .   1.70    .     .       .
            trazodone:zolpidem  1 1.14   1.02      .    .     .       .
           trazodone:zopiclone  0 1.16      .   1.16    .     .       .
             zaleplon:zolpidem  5 0.67   0.77   0.57 1.35  0.55  0.5790
            zaleplon:zopiclone  0 0.69      .   0.69    .     .       .
            zolpidem:zopiclone  0 1.02      .   1.02    .     .       .

Legend:
 comparison - Treatment comparison
 k          - Number of studies providing direct evidence
 nma        - Estimated treatment effect (OR) in network meta-analysis
 direct     - Estimated treatment effect (OR) derived from direct evidence
 indir.     - Estimated treatment effect (OR) derived from indirect evidence
 RoR        - Ratio of Ratios (direct versus indirect)
 z          - z-value of test for disagreement (direct versus indirect)
 p-value    - p-value of test for disagreement (direct versus indirect)
[1] "Percent of comparisons where there is some evidence (p-value<0.05) of disagreement between direct and indirect sources: 0. (0 out of 20 comparisons)."
[1] "File created on 2022-06-08"
