Separate indirect from direct design evidence (SIDDE)

Fixed effects model: 

                    comparison  k  nma direct indir.  RoR     z p-value
            melatonin:zolpidem  0 0.30      .   0.30    .     .       .
           melatonin:zopiclone  0 0.24      .   0.24    .     .       .
             ramelteon:placebo  5 1.35   1.33      .    .     .       .
           seltorexant:placebo  1 1.10   0.69      .    .     .       .
             trazodone:placebo  1 2.68   2.68      .    .     .       .
              zaleplon:placebo  3 2.07   2.19   5.37 0.41 -0.65  0.5158
              zolpidem:placebo 12 2.63   2.80   1.85 1.51  0.67  0.5001
             zopiclone:placebo  1 3.29   2.47   3.15 0.79 -0.32  0.7497
         ramelteon:seltorexant  0 1.22      .   1.22    .     .       .
           ramelteon:trazodone  0 0.50      .   0.50    .     .       .
            ramelteon:zaleplon  0 0.65      .   0.65    .     .       .
            ramelteon:zolpidem  0 0.51      .   0.51    .     .       .
           ramelteon:zopiclone  0 0.41      .   0.41    .     .       .
         seltorexant:trazodone  0 0.41      .   0.41    .     .       .
          seltorexant:zaleplon  0 0.53      .   0.53    .     .       .
          seltorexant:zolpidem  1 0.42   0.67      .    .     .       .
         seltorexant:zopiclone  0 0.33      .   0.33    .     .       .
            trazodone:zaleplon  0 1.30      .   1.30    .     .       .
            trazodone:zolpidem  1 1.02   1.02      .    .     .       .
           trazodone:zopiclone  0 0.82      .   0.82    .     .       .
             zaleplon:zolpidem  2 0.79   0.77   0.79 0.97 -0.04  0.9698
            zaleplon:zopiclone  0 0.63      .   0.63    .     .       .
            zolpidem:zopiclone  1 0.80   0.74   0.96 0.76 -0.41  0.6801

Legend:
 comparison - Treatment comparison
 k          - Number of studies providing direct evidence
 nma        - Estimated treatment effect (OR) in network meta-analysis
 direct     - Estimated treatment effect (OR) derived from direct evidence
 indir.     - Estimated treatment effect (OR) derived from indirect evidence
 RoR        - Ratio of Ratios (direct versus indirect)
 z          - z-value of test for disagreement (direct versus indirect)
 p-value    - p-value of test for disagreement (direct versus indirect)
[1] "Percent of comparisons where there is some evidence (p-value<0.05) of disagreement between direct and indirect sources: 0.07. (1 out of 15 comparisons)."
[1] "File created on 2022-02-02"
