"-0.09 (-0.63 to  0.46)","-0.73 (-1.19 to -0.26)","-0.66 (-1.18 to -0.13)","-0.49 (-1.06 to  0.08)","-0.19 (-0.64 to  0.27)","-0.45 (-0.88 to -0.02)","-0.38 (-1.02 to  0.25)","-0.25 (-0.70 to  0.21)","-0.60 (-1.09 to -0.12)","-0.49 (-1.03 to  0.05)","lormetazepam",".",".","0.24 (-0.33 to  0.82)","1.20 ( 0.69 to  1.72)",".",".",".",".",".",".",".",".","0.28 (-0.47 to  1.03)",".",".","."
"0.74 ( 0.29 to  1.18)","0.10 (-0.25 to  0.44)","0.16 (-0.25 to  0.58)","0.33 (-0.14 to  0.81)","0.63 ( 0.31 to  0.96)","0.37 ( 0.08 to  0.66)","0.44 (-0.12 to  1.00)","0.57 ( 0.24 to  0.91)","0.22 (-0.15 to  0.58)","0.33 (-0.13 to  0.79)","0.82 ( 0.35 to  1.29)","melatonin",".",".","0.14 (-0.11 to  0.38)",".",".",".",".",".",".",".",".",".",".",".","."
"0.14 (-0.66 to  0.94)","-0.50 (-1.24 to  0.25)","-0.43 (-1.21 to  0.35)","-0.26 (-1.08 to  0.55)","0.04 (-0.70 to  0.78)","-0.22 (-0.93 to  0.49)","-0.15 (-0.97 to  0.66)","-0.02 (-0.76 to  0.72)","-0.38 (-1.13 to  0.38)","-0.26 (-1.07 to  0.54)","0.23 (-0.58 to  1.03)","-0.59 (-1.34 to  0.15)","midazolam",".",".",".",".",".",".",".",".",".",".",".",".",".","0.26 (-0.41 to  0.94)"
"0.48 ( 0.02 to  0.93)","-0.16 (-0.52 to  0.19)","-0.10 (-0.53 to  0.33)","0.07 (-0.42 to  0.56)","0.37 ( 0.03 to  0.72)","0.11 (-0.19 to  0.41)","0.18 (-0.37 to  0.72)","0.31 (-0.03 to  0.65)","-0.04 (-0.42 to  0.34)","0.07 (-0.35 to  0.49)","0.56 ( 0.15 to  0.97)","-0.26 (-0.62 to  0.10)","0.33 (-0.40 to  1.07)","nitrazepam","0.13 (-0.29 to  0.55)",".",".",".",".",".",".",".","-0.50 (-1.00 to -0.01)",".",".",".","0.02 (-0.40 to  0.44)"
"0.87 ( 0.50 to  1.24)","0.23 (-0.01 to  0.47)","0.30 (-0.04 to  0.63)","0.47 ( 0.06 to  0.87)","0.77 ( 0.55 to  0.99)","0.51 ( 0.35 to  0.67)","0.57 ( 0.07 to  1.08)","0.71 ( 0.48 to  0.94)","0.35 ( 0.08 to  0.62)","0.47 ( 0.07 to  0.86)","0.96 ( 0.55 to  1.36)","0.14 (-0.11 to  0.38)","0.73 ( 0.02 to  1.44)","0.40 ( 0.13 to  0.66)","placebo","-0.68 (-1.01 to -0.35)","-0.05 (-1.21 to  1.11)","-0.12 (-0.37 to  0.13)","-0.33 (-0.80 to  0.14)","-0.31 (-0.61 to -0.02)","-0.38 (-0.77 to  0.01)","-0.47 (-0.86 to -0.08)","-1.02 (-1.69 to -0.34)","-0.73 (-1.49 to  0.04)","-0.12 (-0.34 to  0.10)","-0.41 (-0.52 to -0.30)","-0.60 (-0.96 to -0.25)"
"0.21 (-0.25 to  0.68)","-0.43 (-0.80 to -0.06)","-0.36 (-0.80 to  0.08)","-0.19 (-0.69 to  0.30)","0.11 (-0.24 to  0.46)","-0.15 (-0.48 to  0.17)","-0.08 (-0.66 to  0.49)","0.05 (-0.29 to  0.39)","-0.31 (-0.70 to  0.08)","-0.19 (-0.68 to  0.29)","0.30 (-0.19 to  0.78)","-0.52 (-0.89 to -0.15)","0.07 (-0.69 to  0.83)","-0.26 (-0.64 to  0.11)","-0.66 (-0.94 to -0.38)","quazepam",".",".",".",".",".",".","-0.26 (-0.82 to  0.30)",".",".",".","."
"0.82 (-0.40 to  2.04)","0.18 (-1.00 to  1.36)","0.25 (-0.96 to  1.45)","0.42 (-0.81 to  1.64)","0.72 (-0.46 to  1.90)","0.46 (-0.71 to  1.62)","0.52 (-0.74 to  1.79)","0.66 (-0.52 to  1.84)","0.30 (-0.89 to  1.49)","0.41 (-0.81 to  1.64)","0.91 (-0.32 to  2.13)","0.08 (-1.10 to  1.27)","0.68 (-0.68 to  2.03)","0.35 (-0.84 to  1.53)","-0.05 (-1.21 to  1.11)","0.61 (-0.58 to  1.80)","quetiapine",".",".",".",".",".",".",".",".",".","."
"0.75 ( 0.31 to  1.20)","0.11 (-0.23 to  0.46)","0.18 (-0.24 to  0.60)","0.35 (-0.13 to  0.83)","0.65 ( 0.32 to  0.98)","0.39 ( 0.09 to  0.68)","0.46 (-0.11 to  1.02)","0.59 ( 0.26 to  0.93)","0.23 (-0.13 to  0.60)","0.35 (-0.12 to  0.81)","0.84 ( 0.37 to  1.31)","0.02 (-0.33 to  0.36)","0.61 (-0.14 to  1.36)","0.28 (-0.09 to  0.64)","-0.12 (-0.37 to  0.13)","0.54 ( 0.17 to  0.92)","-0.07 (-1.25 to  1.12)","ramelteon",".",".",".",".",".",".",".",".","."
"0.44 (-0.11 to  0.99)","-0.20 (-0.67 to  0.27)","-0.13 (-0.66 to  0.39)","0.03 (-0.53 to  0.60)","0.34 (-0.12 to  0.79)","0.08 (-0.36 to  0.51)","0.14 (-0.50 to  0.79)","0.28 (-0.18 to  0.74)","-0.08 (-0.56 to  0.40)","0.03 (-0.53 to  0.60)","0.52 (-0.04 to  1.09)","-0.30 (-0.76 to  0.17)","0.30 (-0.51 to  1.11)","-0.04 (-0.52 to  0.45)","-0.43 (-0.83 to -0.03)","0.23 (-0.26 to  0.72)","-0.38 (-1.60 to  0.84)","-0.31 (-0.78 to  0.16)","seltorexant",".",".",".",".",".",".","0.10 (-0.38 to  0.57)","."
"0.56 ( 0.08 to  1.03)","-0.08 (-0.47 to  0.30)","-0.02 (-0.47 to  0.43)","0.15 (-0.35 to  0.66)","0.45 ( 0.09 to  0.82)","0.19 (-0.15 to  0.53)","0.26 (-0.33 to  0.85)","0.40 ( 0.02 to  0.77)","0.04 (-0.37 to  0.44)","0.15 (-0.34 to  0.65)","0.64 ( 0.14 to  1.14)","-0.18 (-0.56 to  0.21)","0.41 (-0.35 to  1.18)","0.08 (-0.32 to  0.48)","-0.31 (-0.61 to -0.02)","0.34 (-0.07 to  0.75)","-0.26 (-1.46 to  0.93)","-0.20 (-0.58 to  0.19)","0.12 (-0.38 to  0.62)","suvorexant",".",".",".",".",".",".","."
"0.46 (-0.01 to  0.94)","-0.18 (-0.56 to  0.20)","-0.11 (-0.56 to  0.34)","0.06 (-0.44 to  0.56)","0.36 ( 0.00 to  0.73)","0.10 (-0.24 to  0.44)","0.17 (-0.42 to  0.75)","0.30 (-0.05 to  0.66)","-0.06 (-0.46 to  0.34)","0.06 (-0.44 to  0.55)","0.55 ( 0.05 to  1.05)","-0.27 (-0.66 to  0.11)","0.32 (-0.44 to  1.09)","-0.01 (-0.41 to  0.39)","-0.41 (-0.70 to -0.11)","0.25 (-0.16 to  0.66)","-0.36 (-1.55 to  0.84)","-0.29 (-0.68 to  0.10)","0.02 (-0.47 to  0.52)","-0.09 (-0.51 to  0.33)","temazepam",".",".",".",".","-0.01 (-0.49 to  0.47)","."
"0.35 (-0.16 to  0.87)","-0.29 (-0.71 to  0.14)","-0.22 (-0.71 to  0.27)","-0.05 (-0.59 to  0.49)","0.25 (-0.16 to  0.67)","-0.01 (-0.40 to  0.38)","0.06 (-0.56 to  0.67)","0.19 (-0.23 to  0.62)","-0.16 (-0.61 to  0.28)","-0.05 (-0.58 to  0.48)","0.44 (-0.10 to  0.98)","-0.38 (-0.81 to  0.05)","0.21 (-0.58 to  1.00)","-0.12 (-0.56 to  0.32)","-0.52 (-0.87 to -0.16)","0.14 (-0.31 to  0.60)","-0.47 (-1.68 to  0.74)","-0.40 (-0.83 to  0.03)","-0.09 (-0.62 to  0.45)","-0.20 (-0.67 to  0.26)","-0.11 (-0.57 to  0.35)","trazodone",".",".",".","0.03 (-0.45 to  0.52)","."
"0.02 (-0.42 to  0.47)","-0.62 (-0.97 to -0.26)","-0.55 (-0.98 to -0.12)","-0.38 (-0.86 to  0.10)","-0.08 (-0.41 to  0.25)","-0.34 (-0.65 to -0.04)","-0.27 (-0.83 to  0.29)","-0.14 (-0.44 to  0.16)","-0.50 (-0.87 to -0.12)","-0.38 (-0.84 to  0.08)","0.11 (-0.35 to  0.57)","-0.71 (-1.07 to -0.36)","-0.12 (-0.87 to  0.63)","-0.45 (-0.77 to -0.13)","-0.85 (-1.11 to -0.59)","-0.19 (-0.53 to  0.15)","-0.80 (-1.98 to  0.39)","-0.73 (-1.09 to -0.37)","-0.42 (-0.89 to  0.06)","-0.53 (-0.93 to -0.14)","-0.44 (-0.83 to -0.05)","-0.33 (-0.77 to  0.11)","triazolam",".",".","-0.04 (-0.52 to  0.44)","."
"0.17 (-0.61 to  0.95)","-0.47 (-1.19 to  0.25)","-0.40 (-1.16 to  0.36)","-0.24 (-1.03 to  0.56)","0.07 (-0.65 to  0.78)","-0.20 (-0.89 to  0.50)","-0.13 (-0.97 to  0.72)","0.01 (-0.71 to  0.73)","-0.35 (-1.08 to  0.38)","-0.24 (-1.02 to  0.55)","0.25 (-0.42 to  0.93)","-0.57 (-1.29 to  0.16)","0.03 (-0.95 to  1.01)","-0.31 (-1.02 to  0.40)","-0.70 (-1.38 to -0.02)","-0.04 (-0.78 to  0.69)","-0.65 (-1.99 to  0.69)","-0.58 (-1.31 to  0.14)","-0.27 (-1.06 to  0.52)","-0.39 (-1.13 to  0.36)","-0.29 (-1.04 to  0.45)","-0.19 (-0.95 to  0.58)","0.15 (-0.58 to  0.87)","trimipramine",".",".","."
"0.69 ( 0.28 to  1.11)","0.05 (-0.25 to  0.35)","0.12 (-0.26 to  0.50)","0.29 (-0.15 to  0.73)","0.59 ( 0.31 to  0.88)","0.33 ( 0.09 to  0.57)","0.40 (-0.14 to  0.93)","0.53 ( 0.24 to  0.82)","0.17 (-0.15 to  0.50)","0.29 (-0.15 to  0.72)","0.78 ( 0.34 to  1.22)","-0.04 (-0.35 to  0.26)","0.55 (-0.18 to  1.28)","0.22 (-0.11 to  0.54)","-0.18 (-0.36 to  0.01)","0.48 ( 0.15 to  0.82)","-0.13 (-1.30 to  1.04)","-0.06 (-0.37 to  0.25)","0.25 (-0.18 to  0.69)","0.14 (-0.21 to  0.49)","0.23 (-0.11 to  0.57)","0.34 (-0.06 to  0.73)","0.67 ( 0.36 to  0.98)","0.52 (-0.18 to  1.23)","zaleplon","-0.22 (-0.44 to -0.01)","."
"0.43 ( 0.05 to  0.82)","-0.21 (-0.46 to  0.05)","-0.14 (-0.49 to  0.21)","0.03 (-0.38 to  0.44)","0.33 ( 0.09 to  0.57)","0.07 (-0.12 to  0.26)","0.14 (-0.37 to  0.65)","0.27 ( 0.03 to  0.52)","-0.09 (-0.37 to  0.19)","0.03 (-0.38 to  0.43)","0.52 ( 0.10 to  0.93)","-0.30 (-0.57 to -0.04)","0.29 (-0.42 to  1.00)","-0.04 (-0.32 to  0.24)","-0.44 (-0.54 to -0.33)","0.22 (-0.08 to  0.52)","-0.39 (-1.55 to  0.77)","-0.32 (-0.59 to -0.05)","-0.01 (-0.41 to  0.39)","-0.12 (-0.44 to  0.19)","-0.03 (-0.33 to  0.27)","0.08 (-0.28 to  0.44)","0.41 ( 0.14 to  0.68)","0.26 (-0.43 to  0.95)","-0.26 (-0.44 to -0.08)","zolpidem","0.06 (-0.37 to  0.49)"
"0.40 (-0.02 to  0.83)","-0.24 (-0.55 to  0.08)","-0.17 (-0.57 to  0.23)","-0.00 (-0.46 to  0.46)","0.30 ( 0.00 to  0.60)","0.04 (-0.19 to  0.27)","0.11 (-0.35 to  0.57)","0.24 (-0.06 to  0.55)","-0.12 (-0.46 to  0.23)","-0.00 (-0.44 to  0.44)","0.49 ( 0.05 to  0.93)","-0.33 (-0.65 to -0.01)","0.26 (-0.41 to  0.94)","-0.07 (-0.37 to  0.22)","-0.47 (-0.68 to -0.26)","0.19 (-0.16 to  0.54)","-0.42 (-1.59 to  0.76)","-0.35 (-0.67 to -0.02)","-0.04 (-0.49 to  0.41)","-0.15 (-0.52 to  0.21)","-0.06 (-0.42 to  0.30)","0.05 (-0.36 to  0.46)","0.38 ( 0.06 to  0.70)","0.23 (-0.47 to  0.94)","-0.29 (-0.56 to -0.01)","-0.03 (-0.25 to  0.19)","zopiclone"
