"2.00 (1.11 to  3.60)","1.20 (0.71 to  2.05)","0.93 (0.70 to  1.22)","1.41 (1.05 to  1.90)","1.56 (1.32 to  1.84)","1.52 (1.14 to  2.04)","2.42 (1.63 to  3.59)","1.00 (0.83 to  1.21)","2.02 (0.92 to  4.42)","0.96 (0.41 to  2.25)","0.98 (0.73 to  1.31)","1.52 (0.88 to  2.60)","1.71 (1.01 to  2.88)","placebo",".","0.48 (0.24 to  0.95)","0.93 (0.83 to  1.04)","1.92 (1.13 to  3.27)","1.00 (0.80 to  1.26)","0.78 (0.46 to  1.32)","0.63 (0.34 to  1.15)","0.86 (0.65 to  1.12)","0.93 (0.26 to  3.34)","1.25 (1.01 to  1.55)","0.72 (0.64 to  0.82)","0.90 (0.72 to  1.14)"
"1.27 (0.51 to  3.20)","0.77 (0.32 to  1.85)","0.59 (0.28 to  1.27)","0.90 (0.42 to  1.94)","0.99 (0.48 to  2.04)","0.97 (0.46 to  2.04)","1.54 (0.69 to  3.45)","0.64 (0.31 to  1.33)","1.29 (0.45 to  3.69)","0.61 (0.20 to  1.85)","0.62 (0.29 to  1.34)","0.97 (0.40 to  2.32)","1.09 (0.45 to  2.60)","0.64 (0.31 to  1.29)","propiomazine",".",".",".",".",".",".",".",".",".",".","1.09 (0.55 to  2.17)"
"0.95 (0.39 to  2.35)","0.57 (0.24 to  1.37)","0.44 (0.21 to  0.93)","0.67 (0.32 to  1.42)","0.74 (0.37 to  1.51)","0.73 (0.34 to  1.53)","1.15 (0.52 to  2.55)","0.48 (0.24 to  0.97)","0.96 (0.34 to  2.73)","0.46 (0.15 to  1.37)","0.47 (0.22 to  0.98)","0.72 (0.30 to  1.73)","0.81 (0.34 to  1.93)","0.48 (0.24 to  0.95)","0.75 (0.28 to  2.00)","quazepam",".",".",".",".",".",".",".",".",".","."
"1.85 (1.01 to  3.37)","1.11 (0.65 to  1.92)","0.86 (0.64 to  1.15)","1.31 (0.95 to  1.80)","1.44 (1.18 to  1.76)","1.41 (1.03 to  1.93)","2.24 (1.48 to  3.38)","0.93 (0.75 to  1.16)","1.87 (0.85 to  4.12)","0.89 (0.38 to  2.10)","0.91 (0.67 to  1.24)","1.40 (0.81 to  2.43)","1.58 (0.93 to  2.70)","0.93 (0.83 to  1.04)","1.45 (0.71 to  2.97)","1.94 (0.97 to  3.89)","ramelteon",".",".",".",".",".",".",".",".","0.69 (0.38 to  1.26)"
"2.97 (1.43 to  6.17)","1.79 (0.90 to  3.53)","1.38 (0.83 to  2.31)","2.10 (1.24 to  3.55)","2.32 (1.46 to  3.68)","2.27 (1.35 to  3.81)","3.60 (2.00 to  6.46)","1.49 (0.93 to  2.38)","3.00 (1.23 to  7.34)","1.43 (0.55 to  3.71)","1.46 (0.87 to  2.45)","2.26 (1.13 to  4.49)","2.54 (1.29 to  4.98)","1.49 (0.97 to  2.29)","2.33 (1.02 to  5.34)","3.12 (1.39 to  7.02)","1.61 (1.03 to  2.51)","seltorexant",".",".",".",".",".",".","0.69 (0.40 to  1.18)","."
"2.01 (1.07 to  3.77)","1.21 (0.68 to  2.15)","0.93 (0.65 to  1.33)","1.42 (0.98 to  2.06)","1.57 (1.18 to  2.07)","1.53 (1.06 to  2.22)","2.43 (1.54 to  3.83)","1.01 (0.75 to  1.35)","2.03 (0.89 to  4.58)","0.97 (0.40 to  2.33)","0.98 (0.68 to  1.42)","1.52 (0.85 to  2.73)","1.71 (0.97 to  3.03)","1.00 (0.80 to  1.26)","1.57 (0.75 to  3.31)","2.11 (1.02 to  4.33)","1.08 (0.84 to  1.40)","0.68 (0.41 to  1.10)","suvorexant",".",".",".",".",".",".","."
"1.43 (0.70 to  2.92)","0.86 (0.44 to  1.68)","0.66 (0.40 to  1.09)","1.01 (0.62 to  1.66)","1.12 (0.72 to  1.74)","1.09 (0.67 to  1.78)","1.73 (1.02 to  2.94)","0.72 (0.46 to  1.13)","1.44 (0.60 to  3.50)","0.69 (0.27 to  1.77)","0.70 (0.42 to  1.16)","1.09 (0.64 to  1.84)","1.22 (0.63 to  2.36)","0.72 (0.47 to  1.08)","1.12 (0.50 to  2.53)","1.50 (0.67 to  3.34)","0.77 (0.51 to  1.19)","0.48 (0.27 to  0.87)","0.71 (0.45 to  1.14)","temazepam",".","1.15 (0.61 to  2.16)",".",".","1.15 (0.61 to  2.19)","."
"1.43 (0.64 to  3.20)","0.86 (0.40 to  1.84)","0.66 (0.36 to  1.23)","1.01 (0.54 to  1.89)","1.12 (0.63 to  1.98)","1.09 (0.59 to  2.03)","1.73 (0.88 to  3.40)","0.72 (0.40 to  1.28)","1.45 (0.56 to  3.76)","0.69 (0.25 to  1.89)","0.70 (0.38 to  1.30)","1.09 (0.51 to  2.34)","1.22 (0.58 to  2.60)","0.72 (0.41 to  1.24)","1.12 (0.46 to  2.74)","1.50 (0.62 to  3.61)","0.77 (0.44 to  1.35)","0.48 (0.24 to  0.96)","0.71 (0.39 to  1.29)","1.00 (0.51 to  1.98)","trazodone",".",".",".","0.92 (0.48 to  1.76)","."
"1.32 (0.70 to  2.47)","0.79 (0.45 to  1.41)","0.61 (0.43 to  0.87)","0.93 (0.64 to  1.35)","1.03 (0.78 to  1.35)","1.00 (0.73 to  1.37)","1.59 (1.02 to  2.48)","0.66 (0.50 to  0.88)","1.33 (0.59 to  2.98)","0.63 (0.26 to  1.52)","0.65 (0.45 to  0.93)","1.00 (0.57 to  1.76)","1.12 (0.65 to  1.94)","0.66 (0.53 to  0.82)","1.03 (0.50 to  2.13)","1.38 (0.67 to  2.84)","0.71 (0.56 to  0.91)","0.44 (0.27 to  0.72)","0.66 (0.48 to  0.90)","0.92 (0.59 to  1.43)","0.92 (0.51 to  1.66)","triazolam",".","1.91 (0.81 to  4.53)","1.26 (0.78 to  2.04)","1.19 (0.89 to  1.59)"
"0.85 (0.23 to  3.17)","0.51 (0.14 to  1.86)","0.39 (0.12 to  1.32)","0.60 (0.18 to  2.03)","0.66 (0.20 to  2.18)","0.65 (0.19 to  2.18)","1.02 (0.29 to  3.56)","0.42 (0.13 to  1.41)","0.85 (0.21 to  3.48)","0.41 (0.12 to  1.34)","0.41 (0.12 to  1.40)","0.64 (0.18 to  2.35)","0.72 (0.21 to  2.54)","0.42 (0.13 to  1.38)","0.66 (0.17 to  2.63)","0.89 (0.23 to  3.48)","0.46 (0.14 to  1.50)","0.28 (0.08 to  1.00)","0.42 (0.13 to  1.41)","0.59 (0.17 to  2.07)","0.59 (0.16 to  2.17)","0.64 (0.19 to  2.14)","trimipramine",".",".","."
"2.31 (1.25 to  4.27)","1.39 (0.80 to  2.42)","1.07 (0.77 to  1.49)","1.63 (1.15 to  2.31)","1.80 (1.41 to  2.30)","1.76 (1.26 to  2.47)","2.79 (1.81 to  4.31)","1.16 (0.90 to  1.49)","2.33 (1.04 to  5.20)","1.11 (0.47 to  2.65)","1.13 (0.81 to  1.59)","1.75 (1.00 to  3.08)","1.97 (1.14 to  3.41)","1.16 (0.97 to  1.38)","1.81 (0.88 to  3.75)","2.42 (1.19 to  4.92)","1.25 (1.01 to  1.54)","0.78 (0.49 to  1.23)","1.15 (0.86 to  1.54)","1.61 (1.03 to  2.52)","1.61 (0.91 to  2.85)","1.75 (1.33 to  2.31)","2.73 (0.83 to  9.02)","zaleplon","0.78 (0.61 to  0.99)","."
"1.56 (0.86 to  2.85)","0.94 (0.55 to  1.60)","0.73 (0.54 to  0.98)","1.10 (0.80 to  1.52)","1.22 (1.00 to  1.49)","1.19 (0.88 to  1.62)","1.89 (1.25 to  2.85)","0.78 (0.64 to  0.96)","1.58 (0.72 to  3.47)","0.75 (0.32 to  1.77)","0.77 (0.56 to  1.04)","1.19 (0.69 to  2.04)","1.33 (0.79 to  2.25)","0.78 (0.70 to  0.88)","1.23 (0.60 to  2.50)","1.64 (0.82 to  3.28)","0.84 (0.72 to  0.99)","0.53 (0.34 to  0.81)","0.78 (0.60 to  1.00)","1.09 (0.72 to  1.66)","1.09 (0.63 to  1.89)","1.19 (0.94 to  1.50)","1.85 (0.56 to  6.05)","0.68 (0.56 to  0.81)","zolpidem","0.57 (0.39 to  0.84)"
"1.39 (0.75 to  2.56)","0.84 (0.48 to  1.46)","0.65 (0.47 to  0.89)","0.98 (0.70 to  1.38)","1.08 (0.87 to  1.35)","1.06 (0.80 to  1.40)","1.68 (1.10 to  2.57)","0.70 (0.54 to  0.90)","1.40 (0.63 to  3.12)","0.67 (0.28 to  1.59)","0.68 (0.49 to  0.95)","1.05 (0.61 to  1.81)","1.19 (0.69 to  2.03)","0.70 (0.59 to  0.83)","1.09 (0.55 to  2.17)","1.46 (0.72 to  2.95)","0.75 (0.61 to  0.92)","0.47 (0.29 to  0.74)","0.69 (0.52 to  0.92)","0.97 (0.63 to  1.49)","0.97 (0.55 to  1.72)","1.05 (0.84 to  1.33)","1.64 (0.50 to  5.42)","0.60 (0.47 to  0.77)","0.89 (0.74 to  1.08)","zopiclone"
