"1.31 (0.54 to  3.17)","0.77 (0.32 to  1.82)","0.59 (0.30 to  1.18)","0.93 (0.47 to  1.83)","0.96 (0.51 to  1.81)","0.95 (0.47 to  1.94)","1.55 (0.80 to  3.00)","0.67 (0.34 to  1.31)","1.29 (0.46 to  3.57)","0.63 (0.22 to  1.82)","0.64 (0.32 to  1.29)","midazolam",".",".",".",".",".",".",".","0.96 (0.44 to  2.09)",".",".",".",".",".","0.83 (0.32 to  2.17)"
"1.18 (0.50 to  2.82)","0.69 (0.30 to  1.60)","0.54 (0.28 to  1.03)","0.84 (0.43 to  1.64)","0.87 (0.48 to  1.59)","0.86 (0.44 to  1.71)","1.40 (0.69 to  2.85)","0.61 (0.32 to  1.14)","1.16 (0.49 to  2.75)","0.57 (0.22 to  1.46)","0.58 (0.29 to  1.13)","0.90 (0.40 to  2.04)","nitrazepam","1.71 (0.50 to  5.89)",".",".",".",".",".",".",".","2.19 (0.67 to  7.14)",".",".","1.13 (0.45 to  2.84)","1.77 (0.30 to 10.54)"
"2.04 (1.05 to  3.97)","1.19 (0.64 to  2.24)","0.93 (0.66 to  1.29)","1.45 (1.01 to  2.08)","1.50 (1.19 to  1.89)","1.49 (0.98 to  2.26)","2.41 (1.55 to  3.76)","1.05 (0.78 to  1.41)","2.01 (0.88 to  4.60)","0.98 (0.41 to  2.37)","0.99 (0.69 to  1.44)","1.56 (0.86 to  2.84)","1.72 (0.98 to  3.02)","placebo",".","0.48 (0.24 to  0.98)","0.92 (0.78 to  1.08)","1.92 (1.00 to  3.70)","1.00 (0.71 to  1.43)","0.81 (0.45 to  1.46)","0.63 (0.31 to  1.29)","0.79 (0.55 to  1.12)","0.93 (0.25 to  3.54)","1.29 (0.98 to  1.70)","0.74 (0.63 to  0.88)","0.80 (0.58 to  1.12)"
"1.21 (0.42 to  3.48)","0.71 (0.25 to  1.99)","0.55 (0.23 to  1.34)","0.86 (0.35 to  2.10)","0.89 (0.38 to  2.06)","0.88 (0.36 to  2.15)","1.44 (0.57 to  3.63)","0.62 (0.26 to  1.49)","1.19 (0.37 to  3.82)","0.58 (0.18 to  1.94)","0.59 (0.24 to  1.45)","0.93 (0.34 to  2.50)","1.02 (0.38 to  2.74)","0.59 (0.26 to  1.35)","propiomazine",".",".",".",".",".",".",".",".",".",".","1.09 (0.50 to  2.39)"
"0.98 (0.37 to  2.60)","0.57 (0.22 to  1.49)","0.45 (0.20 to  0.98)","0.70 (0.31 to  1.55)","0.72 (0.34 to  1.52)","0.71 (0.31 to  1.64)","1.16 (0.50 to  2.69)","0.50 (0.23 to  1.09)","0.96 (0.32 to  2.88)","0.47 (0.15 to  1.47)","0.48 (0.21 to  1.07)","0.75 (0.29 to  1.90)","0.83 (0.33 to  2.05)","0.48 (0.24 to  0.98)","0.81 (0.27 to  2.40)","quazepam",".",".",".",".",".",".",".",".",".","."
"1.87 (0.94 to  3.71)","1.09 (0.57 to  2.09)","0.85 (0.59 to  1.22)","1.33 (0.90 to  1.97)","1.37 (1.04 to  1.82)","1.36 (0.87 to  2.13)","2.21 (1.38 to  3.54)","0.96 (0.68 to  1.35)","1.84 (0.79 to  4.28)","0.90 (0.37 to  2.20)","0.91 (0.61 to  1.36)","1.43 (0.77 to  2.65)","1.58 (0.88 to  2.83)","0.92 (0.78 to  1.08)","1.54 (0.67 to  3.55)","1.91 (0.92 to  3.97)","ramelteon",".",".",".",".",".",".",".",".","0.69 (0.34 to  1.41)"
"3.05 (1.29 to  7.22)","1.79 (0.78 to  4.08)","1.39 (0.73 to  2.63)","2.17 (1.13 to  4.18)","2.24 (1.24 to  4.06)","2.22 (1.12 to  4.42)","3.61 (1.79 to  7.30)","1.57 (0.84 to  2.91)","3.00 (1.11 to  8.09)","1.47 (0.52 to  4.14)","1.49 (0.77 to  2.88)","2.33 (1.04 to  5.23)","2.58 (1.18 to  5.61)","1.50 (0.87 to  2.59)","2.52 (0.94 to  6.73)","3.12 (1.27 to  7.66)","1.63 (0.92 to  2.89)","seltorexant",".",".",".",".",".",".","0.69 (0.35 to  1.33)","."
"2.05 (0.97 to  4.35)","1.20 (0.58 to  2.47)","0.93 (0.57 to  1.51)","1.46 (0.88 to  2.41)","1.50 (0.99 to  2.29)","1.49 (0.86 to  2.59)","2.43 (1.38 to  4.27)","1.05 (0.66 to  1.67)","2.02 (0.82 to  4.96)","0.99 (0.38 to  2.55)","1.00 (0.60 to  1.67)","1.57 (0.78 to  3.14)","1.73 (0.89 to  3.36)","1.00 (0.71 to  1.43)","1.69 (0.69 to  4.13)","2.09 (0.94 to  4.64)","1.10 (0.74 to  1.62)","0.67 (0.35 to  1.29)","suvorexant",".",".",".",".",".",".","."
"1.49 (0.67 to  3.33)","0.87 (0.40 to  1.90)","0.68 (0.38 to  1.20)","1.06 (0.60 to  1.87)","1.09 (0.65 to  1.83)","1.09 (0.59 to  2.00)","1.76 (0.98 to  3.17)","0.76 (0.44 to  1.32)","1.46 (0.57 to  3.78)","0.72 (0.26 to  1.94)","0.73 (0.40 to  1.31)","1.14 (0.63 to  2.06)","1.26 (0.61 to  2.58)","0.73 (0.46 to  1.16)","1.23 (0.48 to  3.12)","1.52 (0.65 to  3.56)","0.80 (0.49 to  1.30)","0.49 (0.24 to  1.00)","0.73 (0.41 to  1.30)","temazepam",".","1.15 (0.55 to  2.41)",".",".","1.15 (0.55 to  2.43)","."
"1.48 (0.59 to  3.73)","0.87 (0.35 to  2.11)","0.67 (0.33 to  1.39)","1.05 (0.50 to  2.19)","1.09 (0.55 to  2.15)","1.08 (0.50 to  2.32)","1.75 (0.80 to  3.82)","0.76 (0.38 to  1.53)","1.46 (0.51 to  4.14)","0.71 (0.24 to  2.12)","0.72 (0.34 to  1.51)","1.13 (0.47 to  2.71)","1.25 (0.54 to  2.91)","0.73 (0.38 to  1.38)","1.22 (0.43 to  3.45)","1.51 (0.58 to  3.94)","0.79 (0.41 to  1.53)","0.48 (0.21 to  1.12)","0.72 (0.35 to  1.50)","0.99 (0.45 to  2.19)","trazodone",".",".",".","0.92 (0.44 to  1.95)","."
"1.33 (0.65 to  2.74)","0.78 (0.39 to  1.55)","0.60 (0.39 to  0.94)","0.95 (0.60 to  1.49)","0.98 (0.68 to  1.40)","0.97 (0.62 to  1.52)","1.58 (0.94 to  2.63)","0.68 (0.45 to  1.03)","1.31 (0.55 to  3.12)","0.64 (0.26 to  1.61)","0.65 (0.41 to  1.04)","1.02 (0.54 to  1.93)","1.12 (0.62 to  2.04)","0.65 (0.49 to  0.87)","1.10 (0.47 to  2.57)","1.36 (0.63 to  2.93)","0.71 (0.51 to  0.99)","0.44 (0.24 to  0.81)","0.65 (0.41 to  1.03)","0.89 (0.54 to  1.49)","0.90 (0.45 to  1.81)","triazolam",".","1.91 (0.75 to  4.91)","1.28 (0.74 to  2.21)","1.19 (0.74 to  1.93)"
"0.85 (0.21 to  3.47)","0.50 (0.13 to  1.99)","0.39 (0.11 to  1.39)","0.61 (0.17 to  2.19)","0.63 (0.18 to  2.20)","0.62 (0.17 to  2.29)","1.01 (0.27 to  3.75)","0.44 (0.12 to  1.56)","0.84 (0.19 to  3.66)","0.41 (0.12 to  1.42)","0.42 (0.11 to  1.51)","0.65 (0.17 to  2.57)","0.72 (0.19 to  2.69)","0.42 (0.12 to  1.44)","0.70 (0.16 to  3.09)","0.87 (0.21 to  3.63)","0.46 (0.13 to  1.59)","0.28 (0.07 to  1.08)","0.42 (0.12 to  1.50)","0.57 (0.15 to  2.14)","0.58 (0.14 to  2.32)","0.64 (0.18 to  2.27)","trimipramine",".",".","."
"2.41 (1.19 to  4.88)","1.41 (0.73 to  2.74)","1.10 (0.73 to  1.65)","1.72 (1.12 to  2.63)","1.77 (1.28 to  2.45)","1.76 (1.10 to  2.82)","2.86 (1.74 to  4.70)","1.24 (0.86 to  1.79)","2.37 (1.01 to  5.60)","1.16 (0.47 to  2.88)","1.18 (0.76 to  1.82)","1.84 (0.97 to  3.49)","2.04 (1.12 to  3.71)","1.18 (0.94 to  1.49)","1.99 (0.85 to  4.65)","2.46 (1.16 to  5.22)","1.29 (0.97 to  1.71)","0.79 (0.44 to  1.42)","1.18 (0.77 to  1.80)","1.62 (0.97 to  2.70)","1.63 (0.83 to  3.20)","1.81 (1.27 to  2.58)","2.83 (0.81 to  9.92)","zaleplon","0.78 (0.57 to  1.05)","."
"1.62 (0.82 to  3.20)","0.95 (0.51 to  1.78)","0.74 (0.51 to  1.06)","1.15 (0.78 to  1.70)","1.19 (0.91 to  1.56)","1.18 (0.76 to  1.83)","1.92 (1.20 to  3.05)","0.83 (0.61 to  1.14)","1.59 (0.69 to  3.68)","0.78 (0.32 to  1.90)","0.79 (0.53 to  1.18)","1.24 (0.67 to  2.28)","1.37 (0.78 to  2.40)","0.79 (0.68 to  0.92)","1.33 (0.58 to  3.05)","1.65 (0.80 to  3.43)","0.87 (0.69 to  1.08)","0.53 (0.31 to  0.92)","0.79 (0.54 to  1.16)","1.09 (0.68 to  1.75)","1.09 (0.57 to  2.08)","1.22 (0.90 to  1.65)","1.90 (0.55 to  6.56)","0.67 (0.53 to  0.85)","zolpidem","0.57 (0.33 to  0.98)"
"1.32 (0.66 to  2.67)","0.77 (0.40 to  1.51)","0.60 (0.40 to  0.90)","0.94 (0.62 to  1.43)","0.97 (0.72 to  1.30)","0.96 (0.64 to  1.46)","1.57 (0.96 to  2.55)","0.68 (0.47 to  0.99)","1.30 (0.55 to  3.06)","0.64 (0.26 to  1.58)","0.64 (0.42 to  1.00)","1.01 (0.55 to  1.85)","1.12 (0.62 to  2.01)","0.65 (0.51 to  0.82)","1.09 (0.50 to  2.39)","1.35 (0.64 to  2.86)","0.71 (0.54 to  0.93)","0.43 (0.24 to  0.78)","0.65 (0.42 to  0.99)","0.89 (0.54 to  1.46)","0.89 (0.45 to  1.76)","0.99 (0.72 to  1.38)","1.55 (0.44 to  5.43)","0.55 (0.40 to  0.76)","0.82 (0.63 to  1.06)","zopiclone"
